Province,Violations,Statistics,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Saskatchewan (11),Total property crime violations [200] ,Actual incidents,80006,76423,79971,80875,79171,91206,89976,85562,79505,77540,71647,73980,72088,71936,66869,63022,63440,70507
Saskatchewan (11),Total property crime violations [200] ,"Rate per 100,000 population",7862.95,7531.53,7935.47,8085.71,7942.51,9152.79,9020.63,8611.49,8012.18,7738.15,7042.54,7149.33,6856.22,6746.01,6150.44,5697.56,5652.76,6219.54
Saskatchewan (11),Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1685.7,1589.98,1631.07,1653.99,1567.34,1582.54,1587.68,1445,1303.19,1215.31,1124.78,1128.55,1135.86,1099.9,1038.78,945.34,915.35,951.25
Saskatchewan (11),Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",1159.06,1119.78,1116.87,1122.31,1082.9,1127.59,1162.6,1105.43,978.6,876.66,834.48,833.59,889.08,845.61,845.43,770.56,759.37,811.29
Saskatchewan (11),Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",5717.2,5207.61,5619.26,5814.85,5391.17,5217.71,5043.39,4244.32,4022.29,4134.32,3722.07,3857.93,3484.53,3592.29,2980.54,2754.09,2559.49,2446.07
Saskatchewan (11),Total other Criminal Code violations [300] ,Actual incidents,26079,24402,24957,29065,29014,30996,31013,27971,29829,30091,30849,31601,33460,33196,33800,33485,32863,33317
Saskatchewan (11),Total other Criminal Code violations [300] ,"Rate per 100,000 population",2563.03,2404.83,2476.47,2905.86,2910.71,3110.54,3109.24,2815.18,3006.04,3002.95,3032.3,3053.88,3182.35,3113.05,3108.84,3027.24,2928.23,2938.95
Saskatchewan (11),Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1552.59,1476.55,1501.67,1766.69,1710.6,1851.81,1982.32,1966.47,2120.02,2213.2,2457.66,2429.17,2599.91,2581.26,2637.17,2548.59,2512.18,2478.77
Saskatchewan (11),Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",1350.85,1324.59,1356.44,1545.78,1524.07,1685.23,1834.56,1831.22,1985.82,2033.47,2322.62,2321.56,2515.24,2468.87,2546.89,2464.45,2431.08,2411.84
Saskatchewan (11),Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3096.94,2645.63,2628.09,3495.45,3182.89,3182.78,3183.59,3081.4,3244.25,3762.47,3665.82,3425,3405.74,3682.87,3543.88,3419.33,3366.93,3193.55
Alberta,Total violent Criminal Code violations [100]  (16),Actual incidents,40477,45225,45910,48088,47564,48665,48864,49723,50973,52615,55428,56226,55027,53194,53854,51361,51704,54206
Alberta,Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",1396.02,1531.36,1527.82,1572.52,1520.41,1528.71,1508.39,1496.69,1489.85,1497.28,1541.48,1528.26,1474.24,1403.46,1384.94,1281.54,1254.68,1291.71
Alberta,Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",669,678.56,705.46,728.96,689.99,668.53,659.83,679.15,723.03,690.78,718.91,714.5,693.66,658.19,651.19,610.1,603.95,619.19
Alberta,Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",629.09,627.81,650.23,674.04,634.59,628.48,629.29,650.22,699.35,663.23,693.51,695.1,678.74,642.69,642.26,603.1,600.98,616.68
Alberta,Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",996.62,1099.33,1168.76,1194.63,1162.23,1014.2,927.98,938.23,939.75,951.09,966.86,909.9,847.54,820.73,747.72,688.39,638.21,648.58
Alberta,Total property crime violations [200] ,Actual incidents,183876,180669,175103,179943,190955,211870,215063,216057,213115,212706,205373,196531,183234,165634,166922,171763,178692,216619
Alberta,Total property crime violations [200] ,"Rate per 100,000 population",6341.75,6117.62,5827.17,5884.3,6103.99,6655.47,6638.83,6503.43,6228.95,6053.05,5711.54,5341.83,4909.05,4370.07,4292.65,4285.77,4336.24,5161.95
Alberta,Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1140.22,1100.79,1072.44,1046.22,1083.85,1075.8,1031.8,937.14,862.09,832.44,805.98,778.19,708.36,636.18,608.38,599.37,591.11,648.99
Alberta,Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",904.04,893.51,857.07,851.16,876.51,921.76,927.86,838.52,769.05,723.17,709.78,690.73,634.92,574.59,554.81,557.62,564.88,633.13
Alberta,Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3078.89,2819.27,2879.05,2700.03,2851.2,2405.47,1944.21,1820.42,1713.35,1864.88,1745.12,1659.1,1465.35,1282.3,1187.72,1066.7,894.42,834.81
Alberta,Total other Criminal Code violations [300] ,Actual incidents,40451,39832,40503,48020,49641,55683,59382,59691,56215,56275,64078,63046,63772,62276,61911,60715,62668,63099
Alberta,Total other Criminal Code violations [300] ,"Rate per 100,000 population",1395.13,1348.75,1347.88,1570.3,1586.8,1749.17,1833.08,1796.73,1643.06,1601.44,1782.05,1713.63,1708.53,1643.08,1592.14,1514.94,1520.74,1503.63
Alberta,Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",698.18,651.15,716.54,839.02,849.12,888.49,898.5,808.82,707.21,808.8,938.29,904.67,876.14,863.2,851.24,822,841.35,845.44
Alberta,Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",637.65,608.09,676.11,798.34,820.78,864.6,881.85,800.08,696.68,797.17,928.07,896.98,877.61,867.52,853.83,831.7,848.72,858.22
Alberta,Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1195.02,1008.12,1055.74,1183.92,1090.69,1094.69,1044.69,887.12,803.56,918.67,1038.03,982.14,861.03,817.89,823.31,713.4,756.1,695.67
"British Columbia (28,41,49)",Total violent Criminal Code violations [100]  (16),Actual incidents,75845,78690,78423,76751,76767,77707,78739,79994,79693,76802,73891,74496,71139,66927,63904,57231,53209,56994
"British Columbia (28,41,49)",Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",1904.18,1961.69,1941.55,1882.88,1873.2,1885,1894.96,1906.08,1878.8,1789.84,1698.87,1688.99,1592.93,1487.55,1406.78,1248.87,1147.14,1217
"British Columbia (28,41,49)",Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",685.76,721.9,716.06,706.24,668.18,613.18,583.21,591.07,610.13,619.5,609.03,615.16,617.15,579.78,542.92,518.42,476.4,494.98
"British Columbia (28,41,49)",Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",657.12,699.83,691.24,681.29,642,602.39,576.08,586.7,602.1,612.09,603.97,613.93,616.87,583.26,547.39,523.48,484.21,501.22
"British Columbia (28,41,49)",Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",960.27,934.16,956.29,950.14,927.91,721.69,655.5,635.64,693.01,698.14,664.07,628.95,620.29,539.51,489.6,455.95,376.64,413.67
"British Columbia (28,41,49)",Total property crime violations [200] ,Actual incidents,348906,330274,318897,327906,332852,356992,348395,329370,309788,292324,267134,246692,231877,214914,217674,208997,226254,233159
"British Columbia (28,41,49)",Total property crime violations [200] ,"Rate per 100,000 population",8759.71,8233.5,7895.06,8044.28,8121.95,8659.82,8384.61,7848.14,7303.41,6812.51,6141.84,5593.06,5192.14,4776.78,4791.86,4560.66,4877.83,4978.69
"British Columbia (28,41,49)",Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1034.41,969.26,879.55,868.76,814.11,749.8,723,646.45,623.22,572.45,520.97,506.49,483.12,433.52,402.28,394.1,379.61,399.83
"British Columbia (28,41,49)",Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",878.51,832.64,757.9,761.13,725.77,697.04,688.35,625.51,604.85,552.36,506.14,487.28,472.32,428.52,398.63,395.83,386.37,407.77
"British Columbia (28,41,49)",Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2528.77,2282.91,2057.16,1920.85,1690.58,1279.94,1074.23,860.05,812.88,785.45,682.43,720.23,605.82,491.3,445.73,372.81,293.24,296.35
"British Columbia (28,41,49)",Total other Criminal Code violations [300] ,Actual incidents,60452,54014,53883,59943,63642,70055,79688,82427,84857,81797,78969,79701,79841,79518,77498,73873,72186,77201
"British Columbia (28,41,49)",Total other Criminal Code violations [300] ,"Rate per 100,000 population",1517.72,1346.53,1334,1470.54,1552.93,1699.38,1917.8,1964.05,2000.55,1906.25,1815.62,1807,1787.78,1767.4,1706.04,1612.03,1556.26,1648.49
"British Columbia (28,41,49)",Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",332.68,316.87,306.88,332.59,342.01,344.14,346.02,340.84,378.19,398.97,398.84,426.28,461.89,451.53,424.09,412.02,412.23,431.55
"British Columbia (28,41,49)",Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",315.06,307.23,297.53,324.47,334.1,339.81,346.71,340.18,380.99,398.66,399.25,427.12,465.16,459.85,433.33,423.32,425.62,444.99
"British Columbia (28,41,49)",Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",501.51,409.64,397.37,411.98,420.49,387.72,338.99,347.63,349.25,402.29,394.45,417.01,424.74,355.23,313.82,272.52,241.12,256.34
Yukon,Total violent Criminal Code violations [100]  (16),Actual incidents,1332,1749,1798,1684,1719,1710,1471,1307,1243,1301,1269,1404,1464,1470,1458,1525,1663,1533
Yukon,Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",4277.18,5682.82,5910.39,5584.29,5662.43,5522.72,4673.85,4096.66,3851.76,3996.07,3835.23,4162.22,4231.7,4152.31,4028.85,4186.23,4495.81,4095.86
Yukon,Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1779.44,2359.64,2341.53,2201.53,1959.26,1731.93,1718.69,1564.16,1628.48,1618.87,1628.91,1971.14,1709.12,1779.89,1690.97,1629.73,1641.5,1469.08
Yukon,Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",1770.5,2361.99,2248.39,2113.55,1977.25,1775.6,1756.72,1604.87,1618.52,1553.75,1617.2,2010.39,1687.12,1807.4,1683.03,1696.43,1640.84,1452.83
Yukon,Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1847.5,2341.92,3048.78,2889.97,1813.01,1371.31,1399.09,1217.39,1717.35,2219.8,1741.39,1571.48,1943.26,1471.76,1781.47,847.46,1649.24,1665.99
Yukon,Total property crime violations [200] ,Actual incidents,3027,3046,3646,3577,3950,4146,3719,3703,3313,3158,3394,3069,3111,3189,3131,3485,3416,3604
Yukon,Total property crime violations [200] ,"Rate per 100,000 population",9719.99,9897,11985.14,11861.65,13011.4,13390.18,11816.48,11606.7,10266.18,9699.91,10257.5,9098.19,8992.37,9007.97,8651.8,9566.55,9234.93,9629.15
Yukon,Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1810.66,1790.34,1982.81,1589.99,1550.27,1230.58,1097.43,1034.24,972.76,1024.69,796.98,798.74,757.75,560.7,622.15,748.28,415.85,610.57
Yukon,Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",1037.57,1232.15,1262.49,1236.98,1067.37,1038.96,949.13,890.23,757.18,733.5,540.35,628.72,620.8,521.98,537.88,626.27,376.31,520.06
Yukon,Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",7692.31,5988.62,7452.57,4352.37,5474.58,2812.94,2343.48,2260.87,2898.03,3711.79,3260.47,2529.7,2215.31,994.43,1583.53,2179.18,884.96,1706.62
Yukon,Total other Criminal Code violations [300] ,Actual incidents,1386,1321,1840,2199,2354,2233,2128,2069,1874,2312,2608,3345,2681,2628,2890,3660,3661,3698
Yukon,Total other Criminal Code violations [300] ,"Rate per 100,000 population",4450.58,4292.17,6048.45,7292.08,7754.13,7211.83,6761.35,6485.08,5807.07,7101.39,7882.01,9916.4,7749.45,7423.31,7985.85,10046.94,9897.27,9880.3
Yukon,Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1127.76,997.25,1411.23,1416.4,1371.09,1185.01,881.66,1202.35,1415.91,1796.77,1807.19,2416.78,2036.25,1701.66,1904.73,2022.89,1760.31,1636.45
Yukon,Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",1046.4,889.64,1253.57,1330.43,1202.97,1166.7,874.2,1192.42,1358.12,1687.83,1682.81,2424.52,2019.43,1747.04,1925.95,2043.98,1725.6,1610.52
Yukon,Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1746.72,1806.62,2608.4,2089.14,2737.29,1336.15,944.39,1286.96,1932.02,2802.04,3001.11,2338.06,2215.31,1193.32,1662.71,1775.63,2172.16,1950.43
Northwest Territories (15),Total violent Criminal Code violations [100]  (16),Actual incidents,4440,2746,2708,2767,3179,3698,3857,3694,3527,4025,3839,3740,3717,3730,3467,3263,3041,3348
Northwest Territories (15),Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",6608.13,6754.56,6686.58,6774.56,7629.91,8688.71,8907.42,8511.72,8168.51,9279.75,8855.82,8667.64,8588.66,8574.52,7943.09,7435.51,6914.51,7593.9
Northwest Territories (15),Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",3552.88,3290.51,3198.71,3329.7,3262.78,3506.77,3488.14,3236.12,2792.4,3191.64,3531.38,3913.57,3989.64,3643.72,2944.19,2753.84,2632.67,2912.33
Northwest Territories (15),Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",3782.79,3359.67,3273.88,3207.41,3262.82,3535.84,3417.38,3169.46,2877.47,3228.07,3687.5,4092.99,4197.47,3840.18,3092.85,2828.81,2734.46,3038.25
Northwest Territories (15),Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2165.91,2815.15,2682.56,4178,3262.45,3306.36,3973.96,3693.81,2196.56,2930.4,2389.24,2549.3,2328.49,2000,1607.09,2038.44,1574.31,1526.21
Northwest Territories (15),Total property crime violations [200] ,Actual incidents,7938,5140,5535,5417,6397,8179,9018,8357,8292,8807,8881,8639,9814,10134,10406,10556,10132,10315
Northwest Territories (15),Total property crime violations [200] ,"Rate per 100,000 population",11814.26,12643.28,13667,13262.66,15353.41,19217.12,20826.31,19256.2,19204.22,20304.79,20486.74,20021.32,22676.65,23296.02,23840.73,24054.33,23037.74,23396.39
Northwest Territories (15),Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",2590.68,2369.8,1998.8,2429.53,2443.3,2663.03,2537.61,2596.81,2059.64,1630.85,1735.01,1573.81,1559.11,1258.94,1255.86,1079.99,845.33,1047.22
Northwest Territories (15),Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",1724.79,1315.6,1298.7,1543.12,1638.32,1804.82,1716.86,1750.01,1393.47,1267.6,1398.27,1290.53,1299.96,1095.86,1130.55,985.66,726.77,979.59
Northwest Territories (15),Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",7814.27,9616.34,6805.76,8578.49,8071.53,8578.03,8172.43,8411.21,6725.54,4235.35,4198.56,3727.75,3630.45,2623.38,2382.93,1980.2,2078.09,1791.64
Northwest Territories (15),Total other Criminal Code violations [300] ,Actual incidents,3392,2157,3325,4350,3934,4068,5233,6492,5695,5942,6377,5949,6895,7185,6943,6162,6046,5875
Northwest Territories (15),Total other Criminal Code violations [300] ,"Rate per 100,000 population",5048.37,5305.75,8210.08,10650.28,9441.98,9558.05,12085.17,14958.87,13189.59,13699.45,14710.5,13787.11,15931.88,16516.86,15906.8,14041.56,13747.16,13325.62
Northwest Territories (15),Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1195.7,1632.6,849.41,1339.36,1587.54,1737.27,1592.78,1767.98,1969.11,2328.58,2825.66,2943.56,3004.06,2806.28,2209.53,2041.21,1997.29,1898.26
Northwest Territories (15),Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",1119.35,1696.14,734.36,1097.65,1489.7,1731.02,1474.87,1672.23,1846.1,2235.06,2806.05,3017.55,3104.25,2905.75,2291.91,2084.22,2044.03,1965.22
Northwest Territories (15),Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1656.29,1195.81,1639.34,3016.07,2271.63,1780.35,2402.33,2425.46,2830.62,2999.08,2969.15,2380.95,2203.3,1974.03,1468.55,1630.75,1511.34,1161.25
Nunavut (15),Total violent Criminal Code violations [100]  (16),Actual incidents,..,1846,2160,2463,2635,3012,2985,2858,2624,2838,3077,3015,3408,3285,3390,3098,2933,2934
Nunavut (15),Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",..,6882.41,7854.55,8754.53,9143.27,10272.85,9998.66,9423.63,8516.16,9039.66,9648.19,9248.47,10217.97,9606.39,9761.29,8742.77,8128.48,7947.13
Nunavut (15),Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",..,3884.96,5299.47,5033.61,5286.3,5724.48,6095.25,5517.27,5589.68,6417.94,6547.87,6485.5,6693.12,5762.54,5905.91,5226.27,4821.49,4270.01
Nunavut (15),Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",..,4298.2,5857.69,5586.73,5948.04,6442.22,6774.87,6301.78,6336.33,7305.34,7544.86,7259.02,7271.06,6370.74,6563.37,5794,5284.02,4678.09
Nunavut (15),Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",..,1905.65,2710.67,2521.01,2309.97,2521.45,3032.62,1923.08,2137.18,2240.28,1747.48,2594.16,3676.66,2432.78,2160.9,1887.29,1980.2,1737.3
Nunavut (15),Total property crime violations [200] ,Actual incidents,..,2252,2663,3285,3718,4648,4976,4492,4263,4280,4983,5414,5586,5536,5588,4619,5053,5559
Nunavut (15),Total property crime violations [200] ,"Rate per 100,000 population",..,8396.09,9683.64,11676.26,12901.21,15852.66,16667.78,14811.4,13835.52,13632.74,15624.61,16607.36,16748.12,16189.03,16090.3,13035.13,14003.82,15057.29
Nunavut (15),Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",..,2277.02,1844.88,2451.1,3043.78,3202.47,3434.07,2556.9,2120.98,1841.71,2116.31,2336.93,2255.33,1708.59,1586.31,1531.31,1183.83,1051.98
Nunavut (15),Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",..,1630.58,1601.02,1788.25,2048.37,2061.98,2307.3,1618.25,1671.41,1432.83,1702.19,1908.96,1679.05,1482.76,1266.05,1243.48,1110.82,967
Nunavut (15),Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",..,5373.32,2975.84,5462.18,7520.82,8292.18,8511.72,6857.29,4199.8,3766.62,4110.26,4489.9,5263.16,2944.94,3410.57,3224.12,1632.33,1579.36
Nunavut (15),Total other Criminal Code violations [300] ,Actual incidents,..,808,957,1400,2129,2598,3003,3222,2746,2340,3082,3711,4017,4012,4263,3838,3269,3504
Nunavut (15),Total other Criminal Code violations [300] ,"Rate per 100,000 population",..,3012.45,3480,4976.19,7387.49,8860.85,10058.95,10623.85,8912.11,7453.42,9663.87,11383.44,12043.89,11732.37,12275.04,10831.1,9059.67,9491.05
Nunavut (15),Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",..,485.62,982.54,1359.48,1426.62,1437.07,1541.17,1468.85,1634.93,1850.33,2129.01,2105.31,2255.33,1811.42,1889.58,1797.96,1318.7,1336.89
Nunavut (15),Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",..,547.87,1067.34,1473.76,1427.29,1444.55,1679.58,1568.54,1703.66,2018.51,2422.94,2270.92,2378.65,1997.29,2052.2,1920.93,1454.96,1471.71
Nunavut (15),Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",..,187.44,589.28,840.34,1423.58,1403.69,917.43,1012.15,1317.1,1058.59,713.76,1272.14,1611.68,793.85,963.29,1074.71,481.67,500.13
