Province,Violations,Statistics,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Prince Edward Island (51),Total other Criminal Code violations [300] ,"Rate per 100,000 population",1274.49,1203.26,1095.35,1319.3,1422.46,1695.08,1527.52,1148.82,871.87,644.78,701.19,711.89,703.71,789.38,775.86,652.5,569.92,533.3
Prince Edward Island (51),Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",218.87,171.81,168.32,200.05,190.05,212.44,205.67,200.12,279,191.94,232.27,202.23,224.45,176.11,201.98,223.1,205.1,191.63
Prince Edward Island (51),Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",216.68,167.03,151.37,189.84,179.75,212.14,205.3,198.07,256.59,185.48,225.27,200.07,220.57,170.33,200.92,228.34,207.25,188.04
Prince Edward Island (51),Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",237.01,211.69,311.5,286.84,278.3,215.09,209.03,218.67,484.78,253.12,299.88,223.67,264.31,236.77,213.42,164.01,179.87,234.91
Nova Scotia,Total violent Criminal Code violations [100]  (16),Actual incidents,14460,17273,17358,18123,18381,19852,19492,17916,17711,15942,16024,15549,14766,13777,12966,11622,11844,11057
Nova Scotia,Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",1551.66,1849.66,1858.7,1943.58,1965.85,2117.57,2074.99,1910.14,1888.43,1704.9,1712.21,1657.33,1567.39,1458.7,1372.3,1232.46,1256.81,1172.53
Nova Scotia,Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",596.27,698.1,646.52,704.44,696.6,770.26,727.19,664.68,686.88,699.93,722.09,689.63,659.36,632.45,594.09,522.64,531.84,503.22
Nova Scotia,Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",558.46,642.28,592.91,655.81,640.48,716.63,687.41,616.26,641.49,642.66,672.33,650.37,614.14,586.75,560.7,492.06,506.68,489.29
Nova Scotia,Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",957.18,1234.96,1164.88,1176.55,1246.41,1298.98,1123.87,1152.87,1151.48,1301.26,1262.68,1133.16,1187.13,1182.91,1006.58,912.33,862.16,690.95
Nova Scotia,Total property crime violations [200] ,Actual incidents,50328,50539,45468,43932,43818,48559,50801,48566,48502,43056,38989,39265,40847,38026,37336,32763,31281,27776
